address,maxBonded
thor1w83z03ypr825cpz2q6jxx9rdzg47kvhhad295r,613272.12
thor1q2pppwuqlnrlfse79rtx8pwh29chgxjvd384p5,530487.73
thor1hxrydan0eypp5eutah2dt63swnqwzuvc0elgmd,528438.05
thor1wegz06uc3ncju6rc523q7a2ugys2njfjqxhrw5,511736.84
thor1fngj2tc6jhx2qs9svx30pjvf8u3srs7qwf0h6k,494935.79
thor14wtqzhe9cj7jjtwkv4436jz00xphwr6m3zq9z8,490251.78
thor1xfjwfukjweqe28z2pktp4xrlkx93dly8j74s5w,485086.98
thor16vwdn4h8p5c9cplp62hw7xg4r5rszh297h96h2,482509.22
thor1tmh426agsskerq7n69r4d76uz803pqp8gs48lm,480189.74
thor1xzj9vu7qk5krm2ac9lg9ya46kxrnvu9ymw4wqp,472975.01
thor1gldel9ltf7tlmfrtuual8f05z20ds00kwpmr7a,471196.35
thor1wads7l6tdm8f0uy5sz3nu6knpzml8tyj2fu8py,457175.12
thor1l66w5pl5e5dzurrkcp8esff9275s7y784t2v4z,445738.09
thor1q2ylpnwxf3zc2vnnvhp89xjhda8l4r830kdm02,420868.97
thor1kqqke9rqsyta5dzz707vd5zdzuyu9ar6xjj09f,406140.81
thor1yd8utu9xdqpgzerszvdlyjd9qfas8cm673nnuk,391000.37
thor1xu2zmu7ljsm58r0fuc3m0tl336pajk5fd8nyr5,372216.06
thor1sysryhcgqw3hfeh49g2jea3p6nl6vp3q3qf753,363879.41
thor12dwwh4kl49ktxueup0jhd5yxrcp4zeemytnzez,351295.77
thor19xgt6f7tdl093kyv0rfqwzp047pjunkwksjf4p,339790.11
thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,326745.59
thor1wndaapea8y79rsrfg9umxs4pkw9f25y8ruv2xm,311351.28
thor1prvtu8dwrqkgey48vg7f49wfxew436hkcqecd9,308728.54
thor1huqmkhslkn7p86lwvr78xnh3345a2rdsg99409,308458.81
thor1kel3fvyay8zf0dazaefr0uy7kejan79mgg73sj,303385.01
thor1kak953506gs8a5kg4vhaauhnasv9l2wljwk0dd,292142.41
thor1u7uccz8xzvc02lp3uqv4kzzjpuukg6k3a5fe2x,258315.53
thor10fvytn6xhfsn80xvjkl7yqp6c3k657xr0u56yk,257766.16
thor1gczk5e3slv35y35qyw0jc6jwudm2jg4zt8x5zk,249269.41
thor185cnz2smdafcmj7rv7jymr4cc539mngc4qv3le,243317.76
thor1c8a97aprz4xwugxs7dx8w8vrfltghkcgcz3jvv,235826.15
thor1dj79ej9msahy8e6xhhyhkn2xcwkfu3ufcldxhh,228614.28
thor1wmrse405fdq8yk3xa5alxnfw6yjndk3mvn87dp,215353.18
thor1slehqeawh5dkjsqy6pgluy7xgsw5gzpvwr2sav,214706.32
thor1098r0sc0ja8k6ewrznt8kqtahu4647hc7u267q,213397.53
thor10u8wdg4h7pu5hwuzkwg7ft2mjz59n2twumyzh2,212578.35
thor1lv2nj3wv55agzdnj65knedphlavycka3kkqkmr,203842.18
thor1895vuu8cu2t339ds767m988kfnehus55sk74hq,203734.14
thor1nwqytcadctmf9ep3sz9ymdv5k8mu9zp7c4qjka,202944.6
thor1va34sku2gup64ean47mgz4ulgelqe8j4hr3eus,202530.01
thor1tds6ucuseualrd5crlxx3lj3236pcnqgdjysm6,200469.2
thor1nfzkz5qcq46edmgn4kus8a2m4rqhm69dkktw48,198193.56
thor1f39w4g2g4euukkxqzqrzy204q5nddm37knn8jf,194913.93
thor1zzdtuj38h7cq7l879epnjv3ypqpk3flpxrcj4v,194861.48
thor1tnlw06s9jnp9e4lsj0yf6y8rn4udgzlsd73tq9,187839.03
thor14m3h7emlynaxdh4wxgsyjfme3hvjypegtsdx5g,185041.2
thor19myw3v9skyy66ku6fl3th360xru6lecjcxvhyu,176978.5
thor1jhtxxac255excpw9wjrj7d7yr5u32wlcrsnzq3,173609.08
thor1kaynylchvkgxv2x3jcsau8ktl972n2fgh65u02,159538.13
thor1fxa0n6kwqkz0lm8lgxe8pml6t7kh6tc6ws09v7,154897.54
thor1yyfmkh6yd0tytk7nh7htq3fw27xsfk3x8wnr0j,151294.67
thor104dfeem9c80hms0ccnmw7slz5v2kchs5xqye70,150322.68
thor1m5a89dc5wg8af6ntz842235lcvljwa0ryhjqh5,145531.02
thor10qumgw4aue7k802wa43572dxqkckul5sgj6zul,143446.04
