address,balance
"0x93ef615f1ddd27d0e141ad7192623a5c45e8f200",1282780.885415704688057303
"0x05f41e96d46782a5f6955932568ac31d5cabb248",582150.784362613107077777
"0xff75e131c711e4310c045317779d39b3b4f718c4",172386.818542226479621604
"0x7db604f96eb3d48433875c9876764873eab2925e",78422.076322140303091146
"0xcb27b2ccfeb76d9acdbfa9a01a0e894f070e8ccb",34505.273031903583614621
"0xc52dff6bd77a5fbdc00a0e7d081bc5b1e7f240d1",29172.279107903952535708
"0xa0b3459deb6b77164a6558cf4e70aacbe534efbc",17486.673291849969245959
"0x84c5c3bfc6274ac520e6aa58fd791b3dcd33e28a",16303.662345471026128507
"0x66a890c6b668aa09ca637a68b595bb13d9f869e8",14776.122208116688852897
"0x71b3be57e127360c92815772f0af2eb7b8c5c921",14646.443579113105442957
"0xda0ebd8e5b69d130ec7c58fec70fef65b8a558fa",14433.004373587980808225
"0xa317d04f3401363fc03f8b40cf9a622743130b17",10570.635328510950785130
"0x842d90d5395fd68050adf8d7934462854a75c591",8554.907101005026561324
"0xd699f027172c0e594bc4500513665d52a2534b59",8274.251703321686363779
"0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c",8113.478428428140432516
"0x01c5e9992c0fa68d2c0835f34d729b3cc3cf7e44",7841.473750726538128220
"0x90ba143effb103627435399506ada15df72c15cd",7786.258968783294221794
"0xdfcb25af36b9e0bef192c7b688bc6981e196891c",7122.858649464654263284
"0x405a317d2c3ae8931fad74d173795a02ce7cb330",7031.621956793756908155
"0xbcb075c2a8bdb2379c842b16240669e77ac3f20e",6424.100208136537730752
"0x72fc2f0cceec498ee01ab302b62cb6f78ac36bee",5975.179799349562017596
"0x2ee901d6aab21aa32e50ad15779201c2d6637092",5745.440836061324262118
"0x3661607ef1f0869ee26b49e7a50df289bb75fdb3",5662.678113819191821676
"0x3039872685966998c5dfbcc5035033df59defd2f",5544.139152313573504216
"0xe15ebb6573496fd6860f7194285375fb94c9a7c2",5459.825482504653336946
"0x5fc13f8353b09fee5621f55377bea82014840029",5152.112364501006595674
"0x08e99aae41ce2dfe06e5096891dce5766d858b81",4283.670080471206347283
"0x2a0f16ada493f6050add816b4042ce63877d9979",4035.485434722150785092
"0xa027450a905f2bdec2560d6f897dc80016c2e42c",4010.208741074050067255
"0x382ffce2287252f930e1c8dc9328dac5bf282ba1",3836.041250109341945063
"0x11609381f8923e55c32d51c9e71b3f4777dd0a50",3736.841979956345767278
"0xdd03c54a5ab0d773ad0d31346547350ef5fe2b87",3653.195481366783042176
"0xfcc0b5b6fe7423479182af13caad7f2f6ce766cf",3640.894194577167127136
"0x63de232289987852876b913d9c66ed2e8db20a1e",3585.977177495324212941
"0x71020c6b3c22439cd493a86684a24be025ee07eb",3328.615188553676944139
"0x7f3989e67b5d66d6104ffed364fd4c42944b6d9e",3309.255622971576030977
"0x3fa5153ea70a0397d103389f86627e039490a0d5",3139.159914738062980177
"0x48efb6a72060fa88fba1ee21a730ebe2dd6dc09e",2967.946818261544194684
"0x35714b9bbd64c5911e5897a50672e24055c2ea70",2915.029301579456387117
