address,balance
"0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351",12448761.267311604693531990
"0x725cdb48f0ea078e46e96b0b6cd2027b97b99b83",1971073.016424409579485655
"0x75594f01da2e4231e16e67f841c307c4df2313d1",1636307.718398599652573466
"0xc22313fd39f7d4d73a89558f9e8e444c86464bac",1343843.791968723526224494
"0xa9a37a14e562d0e1d335b4714e3455483ede7a9a",1068334.420828677015379071
"0xb0e3175341794d1dc8e5f02a02f9d26989ebedb3",784704.065219588694162667
"0xb1c5b2ca2f0af1424897ab7377cbeda4ab9a6699",727397.010440377518534660
"0xa1371748d65baef4509a3c067b3fe3a1b79183ae",722014.521935492637567222
"0xe56e1c6213de37a32e79407bce5c4569aaa6971d",630109.339084069593809545
"0xfc60673163f4b2446f0a59ecda32a8ee673f1c22",510690.159857969556469470
"0xfd30e3b7ba7a6d33491429dd117f38343ae0008c",497637.985306220711208880
"0xf660384ee094bc71d79de51b31c600cf41b01e6d",423365.711872171901632100
"0x8a0bee989c591142414ad67fb604539d917889df",358085.112304347218014300
"0x7b16526b59ffc2d65b4155149251fcc35fd2e366",236941.559999999997671694
"0x4bc8ea84bdc3ebb01d495e5d1605d4f082aeb5d7",215476.896016664482885972
"0xe5f470e376554fb613a43fde223e40a3bb338765",187175.980801405297825113
"0xfc5a720b05db97c4ea318f17ce8028a399ec2429",176861.647866736835567281
"0x9fca79fb30aa631a82312a7a34d0f05359c626ad",159922.400803552562138066
"0xd83551b29d0da46c9b6d105ef359e23aaf46e764",142906.752426157501759008
"0x49477a544172d1191f4c8b619cb7bb9bc45dff6d",120304.786785786520340480
"0x96e2cd42dba2fe7102aca8887a663a0a1f18d293",111555.800771824113326147
"0xf924ff0f192f0c7c073161e0d62ce7635114e74f",110460.157732985098846257
"0xf48c10015dfb654379360ecf15c461cb60207354",107712.436371275689452887
"0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c",87271.418876665702555329
"0x9fe31529bce7ca0659f1bb8ed857d3827cc49d53",83900.333009031441179104
"0x41cb654d1f47913acab158a8199191d160dabe4a",77938.070896404999075457
"0x3f7590ba09b0c0c2ead938135d28fe098ae64cf9",76615.238575700815999880
"0x679b2c8c1fd2efcf268f2f58929d8791d341629f",72190.683866618535830639
"0xa0b3459deb6b77164a6558cf4e70aacbe534efbc",71218.531606521544745192
"0xfac9dd5194098461b627554347f83d5431fb30e2",66633.043270515030599199
"0x2077b303c43a80eac75b5e1f19939dde54ef71a5",57578.070463524767546915
"0x42565f5d8a3efc5c80bb7ac0f8f646a82d4b434f",57219.449347482353914529
"0x3d40a7bce6ae8d0ea0a012e11b4c5c29d10d03d4",53901.059156988172617275
"0x820f92c1b3ad8e962e6c6d9d7caf2a550aec46fb",35220.496993255190318450
"0xb1458ab1fd43bb72e31c4d9187b2ab8b49e18e3d",34709.825338225971790962
"0x77bcb57ba7037e39063f1567ce734452bbd7a5f0",34654.578097853991494048
"0xff75e131c711e4310c045317779d39b3b4f718c4",34528.478891858256247360
"0xa0545daa0da9abfe4c3b8c5873a763d7e3c7b24c",34094.220836330743622966
"0x46143b38e1418ff86e2fa938c588b2edfb2ed4c1",33722.858897780766710639
"0xe221178f3a0eadcc3cd2024fbaf59caa5cb0670b",30867.177559632869815687
"0x34706d5c391ffb326801bdeced11f2df9b93b30d",30246.046534052024071570
"0x5746396dfe7025190a7775df94b6e89310ddd238",30039.638758428634901065
"0xd6c23e2c0e19dfdf8638b076f1d076f7b29b74e1",29341.899159590633644257
"0xb565aa3406e0b1ffaefb1de0612ba0151f357eaa",27923.512579999998706626
"0x214f88ec69b7116a9fbaff406d856af211d0b6ba",26248.173183805920416489
"0x903fd974073761143a028e2f8341a93dd063d2a4",25513.091216199998598313
"0x5ce561e048d2cd64523d6316228f97bd2537f92f",24438.767765371765563032
"0x1d01a2fefb8883a5cfb8c77b19d9b96794581288",23333.070875512388738571
"0x71b3be57e127360c92815772f0af2eb7b8c5c921",22033.836962991645123111
"0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9",21807.399381537135923281
"0xa916a4891d80494c6cb0b49b11fd68238aaaf617",20381.361999885342811467
"0xa2608614d3038a334ac0d0f341441c978862018b",20303.958711433759162901
"0x71d1567aecb9adb1bc41f1b91525344d0fafdf93",19693.510328394353564363
"0x563b1ae9717e9133b0c70d073c931368e1bd86e5",19475.993049027540109819
"0x839395e20bbb182fa440d08f850e6c7a8f6f0780",18328.038459790404886007
"0xe9812f14cda5f02287a970f90e42c77ebb3cb6d7",17100.128222409533918835
"0x33878e070db7f70d2953fe0278cd32adf8104572",15371.829099002865405055
"0xc2a230442e0fe4785741d1b4c15831ff298fbb19",15322.877769695796814631
"0x79bd8fce0c6de4bb07584472dd0251da18eb8834",14325.379576337534672348
